time,major,category,num_asleep,year,count
2/17/20 0:00,BBB,CAS,2,2023,2
2/17/20 0:00,Computer Science,ENG,1,2023,4
2/17/20 0:00,Business Analytics,Wharton,1,2022,2
2/17/20 0:00,CBE,ENG,1,2021,2
2/17/20 0:00,DMD,ENG,2,2021,7
2/17/20 0:00,CBE,ENG,1,2022,2
2/17/20 0:00,Political Science,CAS,1,2021,2
2/17/20 0:00,BBB,CAS,2,2022,6
2/17/20 0:00,Chemistry,CAS,1,2023,1
2/17/20 0:00,Computer Science,ENG,1,2022,21
2/17/20 0:00,Statistics,Wharton,1,2021,3
2/17/20 0:00,Finance,Wharton,1,2022,7
2/17/20 0:00,Neuroscience,NULL,1,2022,1
2/17/20 0:00,BBB,CAS,1,2021,2
2/17/20 0:00,Misc,N/A,1,2021,1
2/17/20 0:00,Urban Studies,CAS,1,2022,1
2/17/20 0:00,Computer Science,ENG,2,2021,16
2/17/20 0:00,Political Science,CAS,1,2022,1
2/17/20 0:00,Misc,N/A,1,N/A,10
2/17/20 0:00,English,CAS,1,2021,2
2/17/20 0:00,English,CAS,1,2021,2
2/17/20 0:00,Finance,Wharton,1,2021,2
2/17/20 0:00,Finance and Computer Science,NULL,1,2021,1
2/17/20 0:00,Nutrition,CAS,1,2022,1
2/17/20 0:00,BBB,CAS,1,2020,4
2/17/20 0:00,Misc,N/A,1,2022,1
2/17/20 0:00,Undecided,NULL,1,2023,1
2/17/20 0:00,PPE,CAS,1,2020,1
2/17/20 0:00,Nursing,NURS,1,2022,1
2/17/20 0:00,Misc,N/A,1,2023,4
2/17/20 0:00,CBE,ENG,1,2023,2
2/17/20 0:00,GSWS,CAS,1,2020,1
2/17/20 1:00,BBB,CAS,2,2023,2
2/17/20 1:00,Nutrition,CAS,1,2022,1
2/17/20 1:00,Computer Science,ENG,2,2023,4
2/17/20 1:00,Business Analytics,Wharton,1,2022,2
2/17/20 1:00,CBE,ENG,1,2021,2
2/17/20 1:00,Philosophy,CAS,1,2021,1
2/17/20 1:00,DMD,ENG,4,2021,7
2/17/20 1:00,Cognitive Science,NULL,1,2023,1
2/17/20 1:00,CBE,ENG,1,2022,2
2/17/20 1:00,Political Science,CAS,1,2021,2
2/17/20 1:00,OIDD,Wharton,2,2020,2
2/17/20 1:00,BBB,CAS,3,2022,6
2/17/20 1:00,Chemistry,CAS,1,2023,1
2/17/20 1:00,Computer Science,ENG,6,2022,21
2/17/20 1:00,International Studies and Business,NULL,1,2023,1
2/17/20 1:00,Statistics,Wharton,3,2021,3
2/17/20 1:00,Economics,CAS,1,2023,2
2/17/20 1:00,Nursing,NURS,1,2020,1
2/17/20 1:00,Mathematical Economics,CAS,1,2021,1
2/17/20 1:00,Finance,Wharton,2,2022,7
2/17/20 1:00,SSE,NULL,1,2020,1
2/17/20 1:00,Neuroscience,NULL,1,2022,1
2/17/20 1:00,BBB,CAS,2,2021,2
2/17/20 1:00,Misc,N/A,1,2021,1
2/17/20 1:00,Urban Studies,CAS,1,2022,1
2/17/20 1:00,Computer Science,ENG,9,2021,16
2/17/20 1:00,Political Science,CAS,1,2022,1
2/17/20 1:00,Misc,N/A,3,N/A,10
2/17/20 1:00,Statistics,Wharton,2,2020,2
2/17/20 1:00,Communications,CAS,1,2021,1
2/17/20 1:00,English,CAS,1,2021,2
2/17/20 1:00,Finance,Wharton,2,2021,2
2/17/20 1:00,Finance and Computer Science,NULL,1,2021,1
2/17/20 1:00,Business Analytics,Wharton,1,2020,2
2/17/20 1:00,Political Science,CAS,1,2023,2
2/17/20 1:00,BBB,CAS,1,2020,4
2/17/20 1:00,Misc,N/A,1,2022,1
2/17/20 1:00,Computer Science,ENG,1,2020,1
2/17/20 1:00,Undecided,NULL,1,2023,1
2/17/20 1:00,Music,CAS,1,2020,1
2/17/20 1:00,PPE,CAS,1,2020,1
2/17/20 1:00,Finance,Wharton,1,2020,2
2/17/20 1:00,Business Analytics,Wharton,1,2021,2
2/17/20 1:00,Economics,CAS,1,2021,1
2/17/20 1:00,Nursing,NURS,1,2022,1
2/17/20 1:00,Misc,N/A,2,2023,4
2/17/20 1:00,CBE,ENG,1,2023,2
2/17/20 1:00,Systems Engineering,NULL,1,2023,2
2/17/20 1:00,GSWS,CAS,1,2020,1
2/17/20 2:00,Political Science,CAS,1,2020,1
2/17/20 2:00,BBB,CAS,2,2023,2
2/17/20 2:00,Finance and Computer Science,NULL,1,2021,1
2/17/20 2:00,Nutrition,CAS,1,2022,1
2/17/20 2:00,Computer Science,ENG,3,2023,4
2/17/20 2:00,PPE,CAS,1,2021,2
2/17/20 2:00,Business Analytics,Wharton,2,2022,2
2/17/20 2:00,CBE,ENG,1,2021,2
2/17/20 2:00,Economics,CAS,1,2020,2
2/17/20 2:00,Nursing,NURS,1,2021,2
2/17/20 2:00,Communications,CAS,1,2023,1
2/17/20 2:00,DMD,ENG,6,2021,7
2/17/20 2:00,Cognitive Science,NULL,1,2023,1
2/17/20 2:00,CBE,ENG,1,2022,2
2/17/20 2:00,Political Science,CAS,1,2021,2
2/17/20 2:00,OIDD,Wharton,2,2020,2
2/17/20 2:00,BBB,CAS,4,2022,6
2/17/20 2:00,Chemistry,CAS,1,2023,1
2/17/20 2:00,Misc,N/A,1,2020,1
2/17/20 2:00,2022,NULL,1,N/A,1
2/17/20 2:00,Economics,CAS,2,2023,2
2/17/20 2:00,Computer Science,ENG,9,2022,21
2/17/20 2:00,International Studies and Business,NULL,1,2023,1
2/17/20 2:00,Statistics,Wharton,3,2021,3
2/17/20 2:00,Undecided, Wharton,1,2022,1
2/17/20 2:00,Nursing,NURS,1,2020,1
2/17/20 2:00,Mathematical Economics,CAS,1,2021,1
2/17/20 2:00,Finance,Wharton,3,2022,7
2/17/20 2:00,SSE,NULL,1,2020,1
2/17/20 2:00,Neuroscience,NULL,1,2022,1
2/17/20 2:00,BBB,CAS,2,2021,2
2/17/20 2:00,Misc,N/A,1,2021,1
2/17/20 2:00,Urban Studies,CAS,1,2022,1
2/17/20 2:00,Computer Science,ENG,12,2021,16
2/17/20 2:00,Political Science,CAS,1,2022,1
2/17/20 2:00,Misc,N/A,8,N/A,10
2/17/20 2:00,Statistics,Wharton,2,2020,2
2/17/20 2:00,Communications,CAS,1,2021,1
2/17/20 2:00,English,CAS,1,2021,2
2/17/20 2:00,Philosophy,CAS,1,2021,1
2/17/20 2:00,Finance,Wharton,2,2021,2
2/17/20 2:00,Mechanical Engineering,NULL,1,N/A,1
2/17/20 2:00,Business Analytics,Wharton,1,2020,2
2/17/20 2:00,Political Science,CAS,2,2023,2
2/17/20 2:00,BBB,CAS,4,2020,4
2/17/20 2:00,Misc,N/A,1,2022,1
2/17/20 2:00,Cognitive Science,NULL,1,2021,1
2/17/20 2:00,Computer Science,ENG,1,2020,1
2/17/20 2:00,Undecided,NULL,1,2023,1
2/17/20 2:00,Music,CAS,1,2020,1
2/17/20 2:00,CBE,ENG,1,2023,2
2/17/20 2:00,PPE,CAS,1,2020,1
2/17/20 2:00,Finance,Wharton,1,2020,2
2/17/20 2:00,Business Analytics,Wharton,2,2021,2
2/17/20 2:00,History,CAS,1,2023,1
2/17/20 2:00,Economics,CAS,1,2021,1
2/17/20 2:00,Misc,N/A,3,2023,4
2/17/20 2:00,Computer Science,ENG,1,N/A,1
2/17/20 2:00,Systems Engineering,NULL,2,2023,2
2/17/20 2:00,GSWS,CAS,1,2020,1
2/17/20 3:00,Nutrition,CAS,1,2021,1
2/17/20 3:00,BBB,CAS,2,2023,2
2/17/20 3:00,Philosophy,CAS,1,2021,1
2/17/20 3:00,Statistics,Wharton,1,2022,1
2/17/20 3:00,Political Science,CAS,1,2020,1
2/17/20 3:00,Nutrition,CAS,1,2022,1
2/17/20 3:00,Bioengineering,ENG,1,2023,1
2/17/20 3:00,Computer Science,ENG,4,2023,4
2/17/20 3:00,PPE,CAS,2,2021,2
2/17/20 3:00,Finance and Computer Science,NULL,1,2021,1
2/17/20 3:00,Business Analytics,Wharton,2,2022,2
2/17/20 3:00,Urban Studies,CAS,1,2022,1
2/17/20 3:00,Economics,CAS,1,2020,2
2/17/20 3:00,Nursing,NURS,2,2021,2
2/17/20 3:00,Communications,CAS,1,2023,1
2/17/20 3:00,DMD,ENG,7,2021,7
2/17/20 3:00,Cognitive Science,NULL,1,2023,1
2/17/20 3:00,CBE,ENG,1,2022,2
2/17/20 3:00,Statistics,Wharton,3,2021,3
2/17/20 3:00,Political Science,CAS,1,2021,2
2/17/20 3:00,CBE,ENG,1,2023,2
2/17/20 3:00,BBB,CAS,6,2022,6
