time,major,category,num_asleep,year,count
2/17/20 0:00,PPE,CAS,1,2020,1
2/17/20 0:00,Nutrition,CAS,0,2021,0.01
2/17/20 0:00,Fine Arts,CAS,0,2021,0.01
2/17/20 0:00,Philosophy,CAS,0,2021,0.01
2/17/20 0:00,Statistics,Wharton,0,2022,0.01
2/17/20 0:00,Political Science,CAS,0,2020,0.01
2/17/20 0:00,Systems Engineering,ENG,0,2020,0.01
2/17/20 0:00,Nutrition,CAS,1,2022,1
2/17/20 0:00,Biomedical Engineering,NULL,0,2023,0.01
2/17/20 0:00,Computer Science,ENG,1,2023,4
2/17/20 0:00,PPE,CAS,0,2021,0.01
2/17/20 0:00,Business Analytics,Wharton,1,2022,2
2/17/20 0:00,Urban Studies,CAS,1,2022,1
2/17/20 0:00,Economics,CAS,0,2020,0.01
2/17/20 0:00,Nursing,NURS,0,2021,0.01
2/17/20 0:00,Communications,CAS,0,2023,0.01
2/17/20 0:00,DMD,ENG,2,2021,7
2/17/20 0:00,Cognitive Science,CAS,0,2023,0.01
2/17/20 0:00,CBE,ENG,1,2022,2
2/17/20 0:00,Marketing,Wharton,0,2023,0.01
2/17/20 0:00,Political Science,CAS,1,2021,2
2/17/20 0:00,Neuroscience,CAS,2,2023,2
2/17/20 0:00,Chemistry,CAS,1,2023,1
2/17/20 0:00,Misc,N/A,0,2020,0.01
2/17/20 0:00,2022,NULL,0,N/A,0.01
2/17/20 0:00,Economics,CAS,0,2023,0.01
2/17/20 0:00,Computer Science,ENG,1,2022,21
2/17/20 0:00,Math,CAS,0,2022,0.01
2/17/20 0:00,Wharton,NULL,0,2022,0.01
2/17/20 0:00,Nursing,NURS,0,2020,0.01
2/17/20 0:00,Mathematical Economics,CAS,0,2021,0.01
2/17/20 0:00,Cognitive Science,CAS,0,2022,0.01
2/17/20 0:00,Finance,Wharton,1,2022,7
2/17/20 0:00,OIDD,Wharton,0,2020,0.01
2/17/20 0:00,Neuroscience,CAS,3,2022,7
2/17/20 0:00,Fine Arts,CAS,0,2023,0.01
2/17/20 0:00,Misc,N/A,1,2021,1
2/17/20 0:00,CBE,ENG,1,2021,2
2/17/20 0:00,Computer Science,ENG,3,2021,17
2/17/20 0:00,Political Science,CAS,1,2022,1
2/17/20 0:00,Misc,N/A,1,N/A,10
2/17/20 0:00,Marketing,Wharton,0,2022,0.01
2/17/20 0:00,Statistics,Wharton,0,2020,0.01
2/17/20 0:00,Communications,CAS,0,2021,0.01
2/17/20 0:00,English,CAS,1,2021,2
2/17/20 0:00,PPE,CAS,0,2023,0.01
2/17/20 0:00,Finance,Wharton,2,2021,3
2/17/20 0:00,Mechanical Engineering,ENG,0,N/A,0.01
2/17/20 0:00,Business Analytics,Wharton,0,2020,0.01
2/17/20 0:00,Neuroscience,CAS,1,2021,2
2/17/20 0:00,Misc,N/A,1,2022,1
2/17/20 0:00,Cognitive Science,CAS,0,2021,0.01
2/17/20 0:00,Systems Engineering,ENG,0,2022,0.01
2/17/20 0:00,Computer Science,ENG,0,2020,0.01
2/17/20 0:00,Undecided,CAS,1,2023,1
2/17/20 0:00,GSWS,CAS,1,2020,1
2/17/20 0:00,Music,CAS,0,2020,0.01
2/17/20 0:00,Political Science,CAS,0,2023,0.01
2/17/20 0:00,Computer Science,ENG,0,N/A,0.01
2/17/20 0:00,Statistics,Wharton,1,2021,3
2/17/20 0:00,Finance,Wharton,0,2020,0.01
2/17/20 0:00,Business Analytics,Wharton,0,2021,0.01
2/17/20 0:00,History,CAS,0,2023,0.01
2/17/20 0:00,Neuroscience,CAS,1,2020,4
2/17/20 0:00,Economics,CAS,0,2021,0.01
2/17/20 0:00,Nursing,NURS,1,2022,1
2/17/20 0:00,Misc,N/A,1,2023,4
2/17/20 0:00,DMD,ENG,0,2020,0.01
2/17/20 0:00,CBE,ENG,1,2023,2
2/17/20 0:00,Systems Engineering,ENG,0,2023,0.01
2/17/20 0:00,Bioengineering,ENG,0,2023,0.01
2/17/20 1:00,PPE,CAS,1,2020,1
2/17/20 1:00,Nutrition,CAS,0,2021,0.01
2/17/20 1:00,Fine Arts,CAS,0,2021,0.01
2/17/20 1:00,Philosophy,CAS,1,2021,1
2/17/20 1:00,Statistics,Wharton,0,2022,0.01
2/17/20 1:00,Political Science,CAS,0,2020,0.01
2/17/20 1:00,Systems Engineering,ENG,1,2020,1
2/17/20 1:00,Nutrition,CAS,1,2022,1
2/17/20 1:00,Biomedical Engineering,NULL,0,2023,0.01
2/17/20 1:00,Computer Science,ENG,2,2023,4
2/17/20 1:00,PPE,CAS,0,2021,0.01
2/17/20 1:00,Business Analytics,Wharton,1,2022,2
2/17/20 1:00,Urban Studies,CAS,1,2022,1
2/17/20 1:00,Economics,CAS,0,2020,0.01
2/17/20 1:00,Nursing,NURS,0,2021,0.01
2/17/20 1:00,Communications,CAS,0,2023,0.01
2/17/20 1:00,DMD,ENG,4,2021,7
2/17/20 1:00,Cognitive Science,CAS,1,2023,1
2/17/20 1:00,CBE,ENG,1,2022,2
2/17/20 1:00,Marketing,Wharton,0,2023,0.01
2/17/20 1:00,Political Science,CAS,1,2021,2
2/17/20 1:00,Neuroscience,CAS,2,2023,2
2/17/20 1:00,Chemistry,CAS,1,2023,1
2/17/20 1:00,Misc,N/A,0,2020,0.01
2/17/20 1:00,2022,NULL,0,N/A,0.01
2/17/20 1:00,Economics,CAS,1,2023,2
2/17/20 1:00,Computer Science,ENG,6,2022,21
2/17/20 1:00,Math,CAS,0,2022,0.01
2/17/20 1:00,Wharton,NULL,0,2022,0.01
2/17/20 1:00,Nursing,NURS,1,2020,1
