time,major,category,num_asleep
2/17/20 0:00,Nutrition,NULL,1
2/17/20 0:00,Biology,NULL,2
2/17/20 0:00,Statistics,NULL,1
2/17/20 0:00,DMD,NULL,2
2/17/20 0:00,Nursing,NULL,1
2/17/20 0:00,PPE & GSWS,NULL,1
2/17/20 0:00,Brendan Yoo,NULL,1
2/17/20 0:00,Misc,NULL,2
2/17/20 0:00,BBB,NULL,1
2/17/20 0:00,jess ling,NULL,1
2/17/20 0:00,Business Analytics,NULL,1
2/17/20 0:00,Urban Studies,NULL,1
2/17/20 0:00,Computer Science,STEM,3
2/17/20 0:00,Political Science,HUM,2
2/17/20 0:00,English,NULL,1
2/17/20 0:00,Bioengineering,NULL,1
2/17/20 0:00,Commications,NULL,1
2/17/20 0:00,Chemistry,NULL,1
2/17/20 0:00,Finance and Computer Science,NULL,1
2/17/20 0:00,Chemical and Bioengineering,NULL,1
2/17/20 0:00,Finance,NULL,2
2/17/20 1:00,Systems Engineering,NULL,1
2/17/20 1:00,Statistics,NULL,5
2/17/20 1:00,DMD,NULL,3
2/17/20 1:00,ECON,NULL,1
2/17/20 1:00,Mathematical Economics,NULL,1
2/17/20 1:00,Political Science,HUM,2
2/17/20 1:00,Commications,NULL,1
2/17/20 1:00,Nutrition,NULL,1
2/17/20 1:00,Philosophy,NULL,1
2/17/20 1:00,Biology,NULL,2
2/17/20 1:00,Finance,NULL,3
2/17/20 1:00,Econ,NULL,1
2/17/20 1:00,jess ling,NULL,1
2/17/20 1:00,Computer Science,STEM,15
2/17/20 1:00,SSE 2020,NULL,1
2/17/20 1:00,Finance 2021,NULL,1
2/17/20 1:00,International Studies and Business,NULL,1
2/17/20 1:00,Katie Busch,NULL,1
2/17/20 1:00,PPE & GSWS,NULL,1
2/17/20 1:00,Brendan Yoo,NULL,1
2/17/20 1:00,BBB,NULL,3
2/17/20 1:00,Finance and Computer Science,NULL,1
2/17/20 1:00,Business Analytics,NULL,3
2/17/20 1:00,Communications,NULL,1
2/17/20 1:00,Cognitive Science,NULL,1
2/17/20 1:00,English,NULL,1
2/17/20 1:00,Bioengineering,NULL,1
2/17/20 1:00,Chemistry,NULL,1
2/17/20 1:00,Chemical and Bioengineering,NULL,1
2/17/20 1:00,Nursing,NULL,2
2/17/20 1:00,DMD 2021,NULL,1
2/17/20 1:00,Misc,NULL,4
2/17/20 1:00,Urban Studies,NULL,1
2/17/20 1:00,OIDD,NULL,2
2/17/20 2:00,Systems Engineering,NULL,1
2/17/20 2:00,Statistics,NULL,5
2/17/20 2:00,DMD,NULL,5
2/17/20 2:00,ECON,NULL,1
2/17/20 2:00,Mathematical Economics,NULL,1
2/17/20 2:00,Political Science,HUM,4
2/17/20 2:00,Commications,NULL,1
2/17/20 2:00,Nutrition,NULL,1
2/17/20 2:00,Philosophy,NULL,1
2/17/20 2:00,Biology,NULL,3
2/17/20 2:00,Finance,NULL,4
2/17/20 2:00,Mechanical Engineering,NULL,1
2/17/20 2:00,Econ,NULL,1
2/17/20 2:00,jess ling,NULL,1
2/17/20 2:00,Computer Science,STEM,21
2/17/20 2:00,SSE 2020,NULL,1
2/17/20 2:00,Finance 2021,NULL,1
2/17/20 2:00,International Studies and Business,NULL,1
2/17/20 2:00,Katie Busch,NULL,1
2/17/20 2:00,PPE & GSWS,NULL,1
2/17/20 2:00,Brendan Yoo,NULL,1
2/17/20 2:00,BBB,NULL,6
2/17/20 2:00,Finance and Computer Science,NULL,1
2/17/20 2:00,Business Analytics,NULL,4
2/17/20 2:00,Communications,NULL,1
2/17/20 2:00,Cognitive Science,NULL,2
2/17/20 2:00,English,NULL,1
2/17/20 2:00,Bioengineering,NULL,1
2/17/20 2:00,Chemistry,NULL,1
2/17/20 2:00,Chemical and Bioengineering,NULL,1
2/17/20 2:00,History,NULL,1
2/17/20 2:00,Nursing,NULL,1
2/17/20 2:00,PPE,NULL,1
2/17/20 2:00,DMD 2021,NULL,1
2/17/20 2:00,Wharton 20222,NULL,1
2/17/20 2:00,Misc,NULL,5
2/17/20 2:00,Urban Studies,NULL,1
2/17/20 2:00,Misc.1,NULL,1
2/17/20 2:00,2022,NULL,1
2/17/20 2:00,OIDD,NULL,2
2/17/20 2:00,Nursing 2021,NULL,1
2/17/20 3:00,Systems Engineering,NULL,2
2/17/20 3:00,Statisticsistics,NULL,1
2/17/20 3:00,Statistics,NULL,5
2/17/20 3:00,DMD,NULL,7
2/17/20 3:00,ECON,NULL,1
2/17/20 3:00,Mathematical Economics,NULL,1
2/17/20 3:00,Political Science,HUM,4
2/17/20 3:00,Commications,NULL,1
2/17/20 3:00,Nutrition,NULL,2
2/17/20 3:00,Biology,NULL,3
2/17/20 3:00,Finance,NULL,6
2/17/20 3:00,Mechanical Engineering,NULL,1
2/17/20 3:00,Fine Arts,NULL,1
2/17/20 3:00,Marketing,NULL,1
2/17/20 3:00,Econ,NULL,1
2/17/20 3:00,jess ling,NULL,1
2/17/20 3:00,Computer Science,STEM,29
2/17/20 3:00,SSE 2020,NULL,1
2/17/20 3:00,History,NULL,1
2/17/20 3:00,International Studies and Business,NULL,1
2/17/20 3:00,Katie Busch,NULL,1
2/17/20 3:00,biology,NULL,1
2/17/20 3:00,PPE & GSWS,NULL,1
2/17/20 3:00,Brendan Yoo,NULL,1
2/17/20 3:00,BBB,NULL,7
2/17/20 3:00,Finance and Computer Science,NULL,1
2/17/20 3:00,Business Analytics,NULL,5
2/17/20 3:00,Communications,NULL,1
2/17/20 3:00,Cognitive Science,NULL,2
2/17/20 3:00,English,NULL,1
2/17/20 3:00,Bioengineering,NULL,2
2/17/20 3:00,Chemistry,NULL,1
2/17/20 3:00,Chemical and Bioengineering,NULL,1
2/17/20 3:00,Nursing,NULL,2
2/17/20 3:00,Finance 2021,NULL,1
2/17/20 3:00,PPE,NULL,3
2/17/20 3:00,DMD 2021,NULL,1
2/17/20 3:00,Wharton 20222,NULL,1
2/17/20 3:00,Misc,NULL,5
2/17/20 3:00,Urban Studies,NULL,1
2/17/20 3:00,Misc.1,NULL,1
2/17/20 3:00,2022,NULL,1
2/17/20 3:00,OIDD,NULL,2
2/17/20 3:00,Philosophy,NULL,1
2/17/20 3:00,Nursing 2021,NULL,1
2/17/20 4:00,Systems Engineering,NULL,2
2/17/20 4:00,Statisticsistics,NULL,1
2/17/20 4:00,Statistics,NULL,5
2/17/20 4:00,DMD,NULL,7
2/17/20 4:00,ECON,NULL,1
2/17/20 4:00,Mathematical Economics,NULL,1
2/17/20 4:00,Political Science,HUM,5
2/17/20 4:00,Commications,NULL,1
2/17/20 4:00,Nutrition,NULL,2
2/17/20 4:00,Biology,NULL,3
2/17/20 4:00,Finance,NULL,6
2/17/20 4:00,Mechanical Engineering,NULL,1
2/17/20 4:00,Fine Arts,NULL,1
2/17/20 4:00,Marketing,NULL,1
2/17/20 4:00,Econ,NULL,1
2/17/20 4:00,jess ling,NULL,1
2/17/20 4:00,Computer Science,STEM,30
2/17/20 4:00,SSE 2020,NULL,1
2/17/20 4:00,History,NULL,1
2/17/20 4:00,International Studies and Business,NULL,1
2/17/20 4:00,Katie Busch,NULL,1
2/17/20 4:00,biology,NULL,1
2/17/20 4:00,PPE & GSWS,NULL,1
2/17/20 4:00,Brendan Yoo,NULL,1
2/17/20 4:00,BBB,NULL,7
2/17/20 4:00,Finance and Computer Science,NULL,1
2/17/20 4:00,Business Analytics,NULL,5
2/17/20 4:00,Communications,NULL,1
2/17/20 4:00,Cognitive Science,NULL,2
2/17/20 4:00,English,NULL,2
2/17/20 4:00,Bioengineering,NULL,3
2/17/20 4:00,Chemistry,NULL,1
2/17/20 4:00,Chemical and Bioengineering,NULL,1
2/17/20 4:00,Nursing,NULL,2
2/17/20 4:00,Finance 2021,NULL,1
2/17/20 4:00,PPE,NULL,3
2/17/20 4:00,DMD 2021,NULL,1
2/17/20 4:00,Wharton 20222,NULL,1
2/17/20 4:00,Misc,NULL,5
2/17/20 4:00,Urban Studies,NULL,1
2/17/20 4:00,Misc.1,NULL,1
2/17/20 4:00,2022,NULL,1
2/17/20 4:00,OIDD,NULL,2
2/17/20 4:00,Philosophy,NULL,1
2/17/20 4:00,Nursing 2021,NULL,1
2/17/20 5:00,Systems Engineering,NULL,2
2/17/20 5:00,Statisticsistics,NULL,1
2/17/20 5:00,Statistics,NULL,5
2/17/20 5:00,DMD,NULL,7
2/17/20 5:00,ECON,NULL,1
2/17/20 5:00,Mathematical Economics,NULL,1
2/17/20 5:00,Political Science,HUM,5
2/17/20 5:00,Commications,NULL,1
2/17/20 5:00,Math,NULL,1
2/17/20 5:00,Nutrition,NULL,2
2/17/20 5:00,Biology,NULL,3
2/17/20 5:00,Finance,NULL,7
